episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
40,1.0,0.3225856594939624,2.69124537153159,-83.99529539564396,8.437562051259093,3.272015113249319,[8.437562051259093, 3.272015113249319],0.0,False,True,0.606171548454357,1,23.11822180235112,108.023,prepare,0.0
40,2.0,0.3224972246990916,2.69137291727411,-84.00607495570647,21.409269560865084,3.111504761650778,[21.409269560865084, 3.111504761650778],2.6803284883499146,False,True,0.6055829085685207,1,23.11822180235112,108.091,in_progress,0.0
40,3.0,0.3243545742878667,2.6813571746573013,-83.91046104319706,1.8757657078585908,0.9987749282155116,[1.8757657078585908, 0.9987749282155116],2.6803284883499146,False,True,0.64950902196284,1,23.11822180235112,108.147,in_progress,0.0
40,4.0,0.33036361673385284,2.6547220989520386,-83.1794900187387,-7.995199382553434,0.7231547007935024,[-7.995199382553434, 0.7231547007935024],2.6803284883499146,False,True,0.7673662782541694,1,23.11822180235112,108.222,in_progress,0.0
40,5.0,0.3370863218264985,2.618011267244097,-82.68074765679579,-4.245039928805529,3.2541713560059935,[-4.245039928805529, 3.2541713560059935],2.6803284883499146,False,True,0.9286763174935875,1,23.11822180235112,108.286,in_progress,0.0
40,6.0,0.3444141931058972,2.573170482674112,-82.28819071934117,21.625917695748413,4.0,[21.625917695748413, 4.0],2.5307400226593018,False,True,1.1251709253511488,2,23.11822180235112,108.347,in_progress,0.0
40,7.0,0.35785929410068035,2.5087735450332187,-81.23215822918304,-25.216264480230468,2.4342317517751617,[-25.216264480230468, 2.4342317517751617],2.5307400226593018,False,True,1.4109062154203695,2,23.11822180235112,108.424,in_progress,0.0
40,8.0,0.3763999055752163,2.428104116468599,-79.89025527983591,24.479230466681983,3.3409479164366918,[24.479230466681983, 3.3409479164366918],2.3822485208511353,False,True,1.7686629800542057,3,23.11822180235112,108.484,in_progress,0.0
40,9.0,0.3979394475915252,2.3421695508388716,-78.52418290335771,16.824053732170206,3.317757632865489,[16.824053732170206, 3.317757632865489],2.3822485208511353,False,True,2.154040862245637,3,23.11822180235112,108.557,in_progress,0.0
40,10.0,0.42772100757022047,2.2388868057524847,-76.69369612056646,12.48650443576475,0.5,[12.48650443576475, 0.5],2.2350025177001953,False,True,2.6216108975019026,4,23.11822180235112,108.626,in_progress,0.0
40,11.0,0.46229280246343407,2.1377191062303362,-74.03206149181383,-27.569678025973346,1.0028434863267695,[-27.569678025973346, 1.0028434863267695],2.0890684723854065,False,True,3.083031171794489,5,23.11822180235112,108.678,in_progress,0.0
40,12.0,0.4892072480863004,2.051322883158324,-73.59511558452716,30.0,0.5,[30.0, 0.5],2.0890684723854065,False,True,3.481154594642174,5,23.11822180235112,108.754,in_progress,0.0
40,13.0,0.5150264552713697,1.9777568518374844,-72.64726753695999,20.08316774942245,2.4070113389102077,[20.08316774942245, 2.4070113389102077],1.9454265236854553,False,True,3.818316402566328,6,23.11822180235112,108.829,in_progress,0.0
40,14.0,0.5460654114779403,1.9014221072690922,-71.16924025930444,-16.845732608695126,0.5,[-16.845732608695126, 0.5],1.9454265236854553,False,True,4.185272962268248,6,23.11822180235112,108.887,in_progress,0.0
40,15.0,0.5765280804527375,1.8279126576291467,-69.8749635020366,0.8921839651570096,1.2423896858838843,[0.8921839651570096, 1.2423896858838843],1.805765986442566,False,True,4.529466059744761,7,23.11822180235112,108.956,in_progress,0.0
40,16.0,0.6113047285125425,1.751642055936693,-68.47436043717573,-28.870074482689915,0.5,[-28.870074482689915, 0.5],1.6716570258140564,False,True,4.904020131326751,8,23.11822180235112,109.025,in_progress,0.0
40,17.0,0.6369010638426293,1.689299449910409,-68.20520509959229,-30.0,1.1540528595858959,[-30.0, 1.1540528595858959],1.6716570258140564,False,True,5.194386523044041,8,23.11822180235112,109.08,in_progress,0.0
40,18.0,0.6533629813071562,1.6235815811660859,-70.2863566866153,-22.918285464705846,1.5669585150017356,[-22.918285464705846, 1.5669585150017356],1.6716570258140564,False,True,5.481478417339052,8,23.11822180235112,109.158,in_progress,0.0
40,19.0,0.6678187036258104,1.5473080049778754,-72.99972762776477,-19.813818853172577,1.5488899343713505,[-19.813818853172577, 1.5488899343713505],1.5448175072669983,False,True,5.792472681217663,9,23.11822180235112,109.227,in_progress,0.0
40,20.0,0.6810100451081492,1.452504715382318,-76.29120543816714,30.0,2.272276173397705,[30.0, 2.272276173397705],1.5448175072669983,False,True,6.129056488767797,9,23.11822180235112,109.29,in_progress,0.0
40,21.0,0.6927448610039623,1.363164064133837,-78.3758204960055,17.113436286712478,1.313818044760413,[17.113436286712478, 1.313818044760413],1.4292609691619873,False,True,6.457547981522985,10,23.11822180235112,109.361,in_progress,0.0
40,22.0,0.7073184503373873,1.2590408139207034,-79.77575404733541,-7.764121875390103,3.0921373863616926,[-7.764121875390103, 3.0921373863616926],1.4292609691619873,False,True,6.7042790934135486,10,23.11822180235112,109.413,in_progress,0.0
40,23.0,0.7225884823814837,1.138810500126256,-81.17965116035933,-6.687548868688367,4.0,[-6.687548868688367, 4.0],1.33219575881958,False,True,7.089368874168897,11,23.11822180235112,109.486,in_progress,0.0
40,24.0,0.7328449730007531,1.0371256471554124,-82.47328699840018,30.0,0.5,[30.0, 0.5],1.33219575881958,False,True,7.1875999326951945,11,23.11822180235112,109.544,in_progress,0.0
40,25.0,0.7523916096051197,0.9183692631196478,-82.28281603960866,4.6161151541993775,0.7380314145268143,[4.6161151541993775, 0.7380314145268143],1.33219575881958,False,True,7.443881133014778,11,23.11822180235112,109.624,in_progress,0.0
40,26.0,0.7708333417409281,0.829832096643818,-80.98255324843122,28.207521166504733,1.0455206923443012,[28.207521166504733, 1.0455206923443012],1.258876621723175,False,True,7.699710246220335,12,23.11822180235112,109.689,in_progress,0.0
40,27.0,0.792243286632709,0.7522237526391199,-78.96186604968986,30.0,4.0,[30.0, 4.0],1.258876621723175,False,False,7.840224747852684,12,23.11822180235112,109.759,in_progress,0.0
40,28.0,0.823988387512336,0.6625278411714142,-75.95342174448749,5.631948568015709,1.8066565646432504,[5.631948568015709, 1.8066565646432504],1.258876621723175,False,False,7.840224747852684,12,23.11822180235112,109.818,in_progress,0.0
