episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
120,1.0,3.199904921454549,0.6831435588342551,0.18053048744997646,-13.170932815248559,1.852420878617578,[-13.170932815248559, 1.852420878617578],0.0,False,True,0.7915240512932721,1,17.709159380834848,403.841,prepare,0.0
120,2.0,3.1997327938476547,0.6831032114197833,0.18326595495146542,-17.364748512655837,0.5,[-17.364748512655837, 0.5],3.2095088958740234,False,True,0.7905513581379262,1,17.709159380834848,403.9,in_progress,0.0
120,3.0,3.204019154982852,0.6842385823701355,0.4778634311609223,30.0,2.127792718616278,[30.0, 2.127792718616278],3.2095088958740234,False,True,0.8147759455446411,1,17.709159380834848,403.976,in_progress,0.0
120,4.0,3.2259586873835646,0.6861071478004431,0.9505373671261377,-29.56846259971323,2.4204136710641007,[-29.56846259971323, 2.4204136710641007],3.2095088958740234,False,True,0.9386694921321102,1,17.709159380834848,404.041,in_progress,0.0
120,5.0,3.2593825875753435,0.6889578832269682,1.4473294889852548,-30.0,1.8859013903073423,[-30.0, 1.8859013903073423],3.2095088958740234,False,True,1.1274318479729186,1,17.709159380834848,404.094,in_progress,0.0
120,6.0,3.303031464410999,0.688463393253909,1.0313109396260038,2.6593812463507476,0.5,[2.6593812463507476, 0.5],3.359275460243225,False,True,1.3739035606411905,2,17.709159380834848,404.164,in_progress,0.0
120,7.0,3.3563817107300005,0.6854963480310292,0.12330720519734281,-9.842959408225706,1.1284913995813135,[-9.842959408225706, 1.1284913995813135],3.359275460243225,False,True,1.6751354772109033,2,17.709159380834848,404.232,in_progress,0.0
120,8.0,3.4040467969199897,0.6795115090352719,-1.3150529638698663,-18.375976672685265,2.1392265437934785,[-18.375976672685265, 2.1392265437934785],3.359275460243225,False,True,1.9442664847756914,2,17.709159380834848,404.298,in_progress,0.0
120,9.0,3.4560167210718555,0.6705706884434152,-3.1273271345432128,28.302361653128997,0.7615193387024541,[28.302361653128997, 0.7615193387024541],3.5090349912643433,False,True,2.2377172049387197,3,17.709159380834848,404.373,in_progress,0.0
120,10.0,3.520335297700587,0.6582203781400132,-5.0771217319674395,-9.436362392720135,1.0689974979278611,[-9.436362392720135, 1.0689974979278611],3.5090349912643433,False,True,2.6008731492668438,3,17.709159380834848,404.437,in_progress,0.0
120,11.0,3.579332091886623,0.6481497107613325,-6.181752634026329,30.0,1.740276390435759,[30.0, 1.740276390435759],3.5090349912643433,False,True,2.9339934527959777,3,17.709159380834848,404.51,in_progress,0.0
120,12.0,3.6577852559975463,0.6367766322032591,-6.795800212868945,30.0,0.5,[30.0, 0.5],3.6587949991226196,False,True,3.376976978701092,4,17.709159380834848,404.567,in_progress,0.0
120,13.0,3.7199569388007383,0.6333813040602063,-5.8560785706217695,-30.0,2.5,[-30.0, 2.5],3.6587949991226196,False,True,3.728046332858624,4,17.709159380834848,404.634,in_progress,0.0
120,14.0,3.800136083285281,0.6313745568092585,-4.5089218230405645,9.951585240165237,0.5,[9.951585240165237, 0.5],3.808555006980896,False,True,4.180797291802898,5,17.709159380834848,404.682,in_progress,0.0
120,15.0,3.87624042535422,0.6277931258313425,-3.6103936827438283,13.58053458011777,1.5886629767549727,[13.58053458011777, 1.5886629767549727],3.808555006980896,False,True,4.610543497519175,5,17.709159380834848,404.773,in_progress,0.0
120,16.0,3.950624655661751,0.628266829037883,-2.4695631488842595,-15.222488564971442,1.3525664291374675,[-15.222488564971442, 1.3525664291374675],3.9583150148391724,False,True,5.030576933249434,6,17.709159380834848,404.836,in_progress,0.0
120,17.0,4.033639069260368,0.632038291532454,-0.9093734557007235,30.0,0.5,[30.0, 0.5],4.1080756187438965,False,True,5.499349839383541,7,17.709159380834848,404.901,in_progress,0.0
120,18.0,4.1168686467041,0.6394458741754346,1.0458180601788314,-19.25801829171711,0.7141663544483138,[-19.25801829171711, 0.7141663544483138],4.1080756187438965,False,True,5.969343176460344,7,17.709159380834848,404.966,in_progress,0.0
120,19.0,4.183170948308827,0.6487478332747264,2.8929095234183877,3.1902751882427722,1.6310727669887441,[3.1902751882427722, 1.6310727669887441],4.2578349113464355,False,True,6.343757265619327,8,17.709159380834848,405.04,in_progress,0.0
120,20.0,4.260183235352525,0.6608979417034916,4.702888018714621,-30.0,1.857736450038419,[-30.0, 1.857736450038419],4.2578349113464355,False,True,6.778653381769599,8,17.709159380834848,405.098,in_progress,0.0
120,21.0,4.3540752531955125,0.6732133718214035,5.597421791071645,-1.9315090425078907,0.5868696979200436,[-1.9315090425078907, 0.5868696979200436],4.407594919204712,False,True,7.308867370516602,9,17.709159380834848,405.172,in_progress,0.0
120,22.0,4.4418540377041635,0.6833555907210865,5.929323368163334,-30.0,2.4057171761355036,[-30.0, 2.4057171761355036],4.407594919204712,False,True,7.804556779353238,9,17.709159380834848,405.229,in_progress,0.0
120,23.0,4.538101041778071,0.6903183193241705,5.232670888688557,16.766718684279823,0.5,[16.766718684279823, 0.5],4.557354927062988,False,True,8.348057868036621,10,17.709159380834848,405.302,in_progress,0.0
120,24.0,4.60753484913046,0.6916227090826148,4.167987840916216,-26.475524497229863,0.9780184333205818,[-26.475524497229863, 0.9780184333205818],4.557354927062988,False,True,8.74013949510968,10,17.709159380834848,405.362,in_progress,0.0
